ime,letnik,kilometrina,motor,menjalnik,cena,cas
Opel Insignia,2009,148255 km,"diesel motor, 1956 ccm, 118 kW  / 161 KM",ročni menjalnik (6 pr.),5999€,"(5, 11)"

Volkswagen Golf,2011,344523 km,"diesel motor, 1598 ccm, 66 kW  / 90 KM",ročni menjalnik (5 pr.),4999€,"(5, 11)"

Fiat Punto,2006,157725 km,"bencinski motor, 1242 ccm, 44 kW  / 60 KM",ročni menjalnik (5 pr.),1399€,"(5, 11)"

Kia CeeD,2010,117000 km,"bencinski motor, 1396 ccm, 80 kW  / 109 KM",ročni menjalnik (5 pr.),4399€,"(5, 11)"

Citroen C4,2009,206000 km,"diesel motor, 1560 ccm, 80 kW  / 109 KM",avtomatski menjalnik,3999€,"(5, 11)"

Audi A4,2006,262000 km,"diesel motor, 1968 ccm, 103 kW  / 140 KM",ročni menjalnik (6 pr.),6250€,"(5, 11)"

BMW Serija 5,2003,141770 km,"bencinski motor, 2494 ccm, 141 kW  / 192 KM",ročni menjalnik (6 pr.),5999€,"(5, 11)"

Peugeot 206,2002,129300 km,"diesel motor, 1398 ccm, 50 kW  / 68 KM",ročni menjalnik (5 pr.),1175€,"(5, 11)"

Kia Sportage,1995,242315 km,"bencinski motor, 1998 ccm, 94 kW  / 128 KM",ročni menjalnik (5 pr.),1199€,"(5, 11)"

Fiat Punto,2007,155248 km,"bencinski motor, 1368 ccm, 57 kW  / 78 KM",ročni menjalnik (5 pr.),2599€,"(5, 11)"

Volkswagen Golf,2006,258000 km,"diesel motor, 1896 ccm, 66 kW  / 90 KM",ročni menjalnik (5 pr.),3990€,"(5, 11)"

Renault Clio,2005,144872 km,"bencinski motor, 1149 ccm, 55 kW  / 75 KM",ročni menjalnik (5 pr.),2599€,"(5, 11)"

Renault Clio,2011,106939 km,"bencinski motor, 1149 ccm, 74 kW  / 101 KM",ročni menjalnik (5 pr.),4499€,"(5, 11)"

