znamka,ime,letnik,kilometrina,motor,velikost motorja,menjalnik,cena,cas
Ford,Galaxy,2015,75488,diesel motor,1997,ročni menjalnik,23990,"(23, 1)"
Mercedes-Benz,E-Razred,2007,224000,diesel motor,2987,avtomatski menjalnik,3900,"(23, 1)"
Volkswagen,Transporter,2010,318000,diesel motor,1968,avtomatski menjalnik,12390,"(23, 1)"
Citroen,C3,2015,105000,diesel motor,1398,ročni menjalnik,6990,"(23, 1)"
Fiat,Stilo,2005,304000,diesel motor,1910,ročni menjalnik,490,"(23, 1)"
Opel,Corsa,2004,145000,bencinski motor,1199,ročni menjalnik,1590,"(23, 1)"
Hyundai,i20,2009,89000,bencinski motor,1248,ročni menjalnik,3990,"(23, 1)"
Seat,Leon,2016,108021,diesel motor,1598,avtomatski menjalnik,11799,"(23, 1)"
Audi,A4,2009,248000,diesel motor,1968,ročni menjalnik,8800,"(23, 1)"
Audi,A4,2008,250000,diesel motor,1968,avtomatski menjalnik,8400,"(23, 1)"
Renault,Clio,2012,63000,bencinski motor,1149,ročni menjalnik,3850,"(23, 1)"
Mercedes-Benz,E-Razred,2014,120000,diesel motor,2143,avtomatski menjalnik,25900,"(23, 1)"
Ford,Mondeo,2016,56492,diesel motor,1997,ročni menjalnik,18490,"(23, 1)"
Volkswagen,Passat,2010,267888,diesel motor,1968,ročni menjalnik,9500,"(23, 1)"
Peugeot,807,2011,182000,diesel motor,2000,ročni menjalnik,7800,"(23, 1)"
BMW,Serija 3,2008,204591,diesel motor,1995,avtomatski menjalnik,9999,"(23, 1)"
Mercedes-Benz,C-Razred,2017,269300,diesel motor,1598,ročni menjalnik,13200,"(23, 1)"
BMW,Serija 5,2011,173077,diesel motor,2993,avtomatski menjalnik,25990,"(23, 1)"
BMW,Serija X3,2005,252800,diesel motor,1995,ročni menjalnik,5790,"(23, 1)"
Citroen,Berlingo,2011,175000,bencinski motor + plin,1598,ročni menjalnik,6650,"(23, 1)"
Lexus,IS,2010,192500,diesel motor,2231,ročni menjalnik,7500,"(23, 1)"
Volkswagen,Touran,2015,117850,diesel motor,1598,ročni menjalnik,14580,"(23, 1)"
Fiat,Punto,2001,165000,bencinski motor,1242,ročni menjalnik,400,"(23, 1)"
Citroen,C4,2016,135000,diesel motor,1560,avtomatski menjalnik,10490,"(23, 1)"
BMW,Serija 5,2000,280000,bencinski motor,2494,ročni menjalnik,590,"(23, 1)"
Škoda,Fabia,2002,238000,diesel motor,1896,ročni menjalnik,1000,"(23, 1)"
Audi,A3,2011,124000,diesel motor,1598,ročni menjalnik,9400,"(23, 1)"
Subaru,Legacy,2010,207308,diesel motor,1998,ročni menjalnik,8990,"(23, 1)"
Volkswagen,Passat,2013,177000,diesel motor,1968,ročni menjalnik,12280,"(23, 1)"
Opel,Corsa,2005,168000,bencinski motor,1199,ročni menjalnik,1500,"(23, 1)"
Renault,Grand Scenic,2010,180600,diesel motor,1870,ročni menjalnik,5100,"(23, 1)"
Audi,A4,2015,166000,diesel motor,1968,avtomatski menjalnik,15650,"(23, 1)"
Mini,-,2013,59000,diesel motor,1598,ročni menjalnik,10900,"(23, 1)"
Volkswagen,Passat,2015,158909,diesel motor,1968,ročni menjalnik,16990,"(23, 1)"
Honda,Civic,2000,230000,diesel motor,2000,ročni menjalnik,750,"(23, 1)"
Volkswagen,Passat,2008,273000,diesel motor,1968,avtomatski menjalnik,3650,"(23, 1)"
Mercedes-Benz,Viano,2006,189115,diesel motor,2148,avtomatski menjalnik,13100,"(23, 1)"
Renault,Clio,2007,185000,bencinski motor,1149,ročni menjalnik,1950,"(23, 1)"
Volkswagen,Beetle,2005,271250,diesel motor,1896,ročni menjalnik,3580,"(23, 1)"
Volvo,V40,2016,3780,diesel motor,1969,ročni menjalnik,22550,"(23, 1)"
Opel,Zafira,2008,225000,diesel motor,1910,ročni menjalnik,3800,"(23, 1)"
Volkswagen,Passat,2008,270000,diesel motor,1896,ročni menjalnik,3500,"(23, 1)"
Opel,Astra,2008,127556,bencinski motor,1598,ročni menjalnik,3850,"(23, 1)"
Peugeot,307,2005,256000,diesel motor,1560,ročni menjalnik,1900,"(23, 1)"
Volkswagen,Passat,2014,184792,diesel motor,1968,ročni menjalnik,11490,"(23, 1)"
Peugeot,207,2009,130300,bencinski motor,1397,ročni menjalnik,3980,"(23, 1)"
Seat,Ibiza,2003,362000,diesel motor,1896,ročni menjalnik,1100,"(23, 1)"
Renault,Laguna,2005,330000,diesel motor,1870,ročni menjalnik,699,"(23, 1)"
Volkswagen,Multivan,2016,43606,diesel motor,1968,avtomatski menjalnik,41990,"(23, 1)"
Renault,Clio,2010,210000,diesel motor,1461,ročni menjalnik,3400,"(23, 1)"
Peugeot,407,2004,284277,diesel motor,1997,ročni menjalnik,2050,"(23, 1)"
